,couple,trial,p1_role,p2_role
0,1,trial1,0,1
1,1,trial2,1,0
2,2,trial1,0,1
3,2,trial2,1,0
4,3,trial1,0,1
5,3,trial2,1,0
6,4,trial1,0,1
7,4,trial2,1,0
8,5,trial1,0,1
9,5,trial2,1,0
10,6,trial1,1,0
11,6,trial2,0,1
12,7,trial1,1,0
13,7,trial2,0,1
14,8,trial1,0,1
15,8,trial2,1,0
16,9,trial1,1,0
17,9,trial2,0,1
18,10,trial1,0,1
19,10,trial2,1,0
20,11,trial1,0,1
21,11,trial2,1,0
22,12,trial1,0,1
23,12,trial2,1,0
24,14,trial1,0,1
25,14,trial2,1,0
26,15,trial1,0,1
27,15,trial2,1,0
28,16,trial1,1,0
29,16,trial2,0,1
30,18,trial1,0,1
31,18,trial2,1,0
32,19,trial1,0,1
33,19,trial2,1,0
34,21,trial1,1,0
35,21,trial2,0,1
36,22,trial1,1,0
37,22,trial2,0,1
38,23,trial1,1,0
39,23,trial2,0,1
40,24,trial1,1,0
41,24,trial2,0,1
42,28,trial1,1,0
43,28,trial2,0,1
44,29,trial1,0,1
45,29,trial2,1,0
46,30,trial1,0,1
47,30,trial2,1,0
48,31,trial1,0,1
49,31,trial2,1,0
50,32,trial1,0,1
51,32,trial2,1,0
52,33,trial1,1,0
53,33,trial2,0,1
54,34,trial1,0,1
55,34,trial2,1,0
56,35,trial1,0,1
57,35,trial2,1,0
58,37,trial1,0,1
59,37,trial2,1,0
60,81,trial1,0,1
61,81,trial2,1,0
62,82,trial1,1,0
63,82,trial2,0,1
64,83,trial1,1,0
65,83,trial2,0,1
66,84,trial1,0,1
67,84,trial2,1,0
68,85,trial1,1,0
69,85,trial2,0,1
70,87,trial1,1,0
71,87,trial2,0,1
72,88,trial1,0,1
73,88,trial2,1,0
74,89,trial1,1,0
75,89,trial2,0,1
76,90,trial1,0,1
77,90,trial2,1,0
78,91,trial1,0,1
79,91,trial2,1,0
80,92,trial1,0,1
81,92,trial2,1,0
82,93,trial1,1,0
83,93,trial2,0,1
84,94,trial1,0,1
85,94,trial2,1,0
86,95,trial1,1,0
87,95,trial2,0,1
88,96,trial1,0,1
89,96,trial2,1,0
90,97,trial1,0,1
91,97,trial2,1,0
92,98,trial1,1,0
93,98,trial2,0,1
94,101,trial1,1,0
95,101,trial2,0,1
96,102,trial1,1,0
97,102,trial2,0,1
98,103,trial1,0,1
99,103,trial2,1,0
100,104,trial1,0,1
101,104,trial2,1,0
102,105,trial1,1,0
103,105,trial2,0,1
104,106,trial1,0,1
105,106,trial2,1,0
106,107,trial1,1,0
107,107,trial2,0,1
108,108,trial1,0,1
109,108,trial2,1,0
110,109,trial1,0,1
111,109,trial2,1,0
112,110,trial1,1,0
113,110,trial2,0,1
114,111,trial1,1,0
115,111,trial2,0,1
116,112,trial1,1,0
117,112,trial2,0,1
118,113,trial1,0,1
119,113,trial2,1,0
120,114,trial1,0,1
121,114,trial2,1,0
122,115,trial1,1,0
123,115,trial2,0,1
124,116,trial1,1,0
125,116,trial2,0,1
126,117,trial1,0,1
127,117,trial2,1,0
128,118,trial1,0,1
129,118,trial2,1,0
130,119,trial1,1,0
131,119,trial2,0,1
132,120,trial1,1,0
133,120,trial2,0,1
134,121,trial1,1,0
135,121,trial2,0,1
136,122,trial1,1,0
137,122,trial2,0,1
138,123,trial1,0,1
139,123,trial2,1,0
140,124,trial1,0,1
141,124,trial2,1,0
142,125,trial2,0,1
143,125,trial1,1,0
144,126,trial1,1,0
145,126,trial2,0,1
146,127,trial1,1,0
147,127,trial2,0,1
148,128,trial1,1,0
149,128,trial2,0,1
150,129,trial1,1,0
151,129,trial2,0,1
152,130,trial1,0,1
153,130,trial2,1,0
154,131,trial1,1,0
155,131,trial2,0,1
156,132,trial1,1,0
157,132,trial2,0,1
158,133,trial1,1,0
159,133,trial2,0,1
160,134,trial1,0,1
161,134,trial2,1,0
162,135,trial1,1,0
163,135,trial2,0,1
164,136,trial1,1,0
165,136,trial2,0,1
166,137,trial1,0,1
167,137,trial2,1,0
168,138,trial1,0,1
169,138,trial2,1,0
170,139,trial1,0,1
171,139,trial2,1,0
172,140,trial1,0,1
173,140,trial2,1,0
174,141,trial1,1,0
175,141,trial2,0,1
176,142,trial1,1,0
177,142,trial2,0,1
178,143,trial1,0,1
179,143,trial2,1,0
180,144,trial1,0,1
181,144,trial2,1,0
182,145,trial1,1,0
183,145,trial2,0,1
184,146,trial1,0,1
185,146,trial2,1,0
186,147,trial1,1,0
187,147,trial2,0,1
188,148,trial1,0,1
189,148,trial2,1,0
190,149,trial1,1,0
191,149,trial2,0,1
192,150,trial1,1,0
193,150,trial2,0,1
194,151,trial1,1,0
195,151,trial2,0,1
196,152,trial1,0,1
197,152,trial2,1,0
198,153,trial1,0,1
199,153,trial2,1,0
200,154,trial1,0,1
201,154,trial2,1,0
202,155,trial1,1,0
203,155,trial2,0,1
204,157,trial1,0,1
205,157,trial2,1,0
206,158,trial1,1,0
207,158,trial2,0,1
208,159,trial1,1,0
209,159,trial2,0,1
210,160,trial1,0,1
211,160,trial2,1,0
212,161,trial1,0,1
213,161,trial2,1,0
214,165,trial1,1,0
215,165,trial2,0,1
216,166,trial1,1,0
217,166,trial2,0,1
218,167,trial1,1,0
219,167,trial2,0,1
220,168,trial1,0,1
221,168,trial2,1,0
222,169,trial1,0,1
223,169,trial2,1,0
224,170,trial1,0,1
225,170,trial2,1,0
226,171,trial1,0,1
227,171,trial2,1,0
228,172,trial1,1,0
229,172,trial2,0,1
230,173,trial1,1,0
231,173,trial2,0,1
232,174,trial1,0,1
233,174,trial2,1,0
234,175,trial1,1,0
235,175,trial2,0,1
236,176,trial1,1,0
237,176,trial2,0,1
238,177,trial1,1,0
239,177,trial2,0,1
240,178,trial1,1,0
241,178,trial2,0,1
242,179,trial1,1,0
243,179,trial2,0,1
244,180,trial1,0,1
245,180,trial2,1,0
246,181,trial1,1,0
247,181,trial2,0,1
248,182,trial1,1,0
249,182,trial2,0,1
250,183,trial1,0,1
251,183,trial2,1,0
252,184,trial1,0,1
253,184,trial2,1,0
254,185,trial1,1,0
255,185,trial2,0,1
256,186,trial1,0,1
257,186,trial2,1,0
258,187,trial1,1,0
259,187,trial2,0,1
260,188,trial1,1,0
261,188,trial2,0,1
262,189,trial1,0,1
263,189,trial2,1,0
264,190,trial1,0,1
265,190,trial2,1,0
266,191,trial1,1,0
267,191,trial2,0,1
268,192,trial1,0,1
269,192,trial2,1,0
270,193,trial1,0,1
271,193,trial2,1,0
272,194,trial1,0,1
273,194,trial2,1,0
274,195,trial1,1,0
275,195,trial2,0,1
276,196,trial1,0,1
277,196,trial2,1,0
278,197,trial1,1,0
279,197,trial2,0,1
280,198,trial1,1,0
281,198,trial2,0,1
282,199,trial1,1,0
283,199,trial2,0,1
